iso3,country_name,source,source_area_code,source_area_name,mapping_type,mapping_source,documentation_url,verified,verification_date,notes
NLD,Netherlands,ENTSO-E Transparency,10YNL----------L,Netherlands (TenneT NL),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
POL,Poland,ENTSO-E Transparency,10YPL-AREA-----S,Poland (PSE),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
PRT,Portugal,ENTSO-E Transparency,10YPT-REN------W,Portugal (REN),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
ROU,Romania,ENTSO-E Transparency,10YRO-TEL------P,Romania (Transelectrica),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
SVK,Slovakia,ENTSO-E Transparency,10YSK-SEPS-----K,Slovakia (SEPS),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
SVN,Slovenia,ENTSO-E Transparency,10YSI-ELES-----O,Slovenia (ELES),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
ESP,Spain,ENTSO-E Transparency,10YES-REE------0,Spain (REE),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
SWE,Sweden,ENTSO-E Transparency,10YSE-1--------K,Sweden (Svenska Kraftnat),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main control area; 4 price zones also available
NOR,Norway,ENTSO-E Transparency,10YNO-0--------C,Norway (Statnett),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main control area; 5 price zones also available
CHE,Switzerland,ENTSO-E Transparency,10YCH-SWISSGRIDZ,Switzerland (Swissgrid),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
GBR,United Kingdom,ENTSO-E Transparency,10YGB----------A,Great Britain (National Grid ESO),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Post-Brexit GB left synchronous area Jan 2021; data reliability limited post-2021. Use NESO for current GB data.
MKD,North Macedonia,ENTSO-E Transparency,10YMK-MEPSO----M,North Macedonia (MEPSO),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
SRB,Serbia,ENTSO-E Transparency,10YCS-SERBIATSOV,Serbia (EMS),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
MNE,Montenegro,ENTSO-E Transparency,10YCS-CG-TSO---S,Montenegro (CGES),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
ALB,Albania,ENTSO-E Transparency,10YAL-KESH-----5,Albania (OST),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
BIH,Bosnia and Herzegovina,ENTSO-E Transparency,10YBA-JPCC-----D,Bosnia and Herzegovina (NOSBiH),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
XKX,Kosovo,ENTSO-E Transparency,10Y1001C--00100H,Kosovo (KOSTT),bidding_zone,ENTSO-E EIC Registry,https://transparency.entsoe.eu/content/static_content/Static%20content/web%20api/Guide.html,true,2025-08-28,Main bidding zone
GBR,United Kingdom,ESO / NESO,historic-demand-data,National Demand (ND) + Transmission System Demand (TSD),package_id,NESO Open Data API,https://api.neso.energy/api/3/action/package_show?id=historic-demand-data,true,2025-08-28,Half-hourly from 2009. Primary source for post-2021 GB electricity demand.
USA,United States,EIA Open Data,US48,United States Lower 48 (CONUS),respondent_code,EIA Open Data API v2,https://www.eia.gov/opendata/,true,2025-08-28,Hourly regional balancing authority demand; US48 = contiguous US aggregate
AUS,Australia,AEMO,NEM,National Electricity Market,market_region,AEMO MMS Data,https://aemo.com.au/energy-systems/electricity/national-electricity-market-nem/data-nem/market-management-system-mms-data,true,2025-08-28,5-minute dispatch intervals across NEM regions (NSW1/QLD1/SA1/TAS1/VIC1)
